alpha_band,alpha_gt,base_clip_id,beta_gt,beta_sign,camera_a,camera_b,camera_pair_category,common_overlap_frames,fps,low_motion,offset_band,original_end_frame,original_start_frame,person_id,protocol,sample_id,seed,source_sequence_id,split,valid_warped_start,valid_warped_stop_exclusive,velocity_bucket,velocity_cm_s
one_control,1.0,04ea839f06a55405c31c,-3.0,negative,00_08,00_13,medium,69,29.97,False,small_medium,71,0,0,offset,f59fb970ca7d3a6b9e1eb50e,2908,171204_pose1_sample,train,3,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,-0.5,negative,00_08,00_13,medium,71,29.97,False,near_zero,71,0,0,offset,5163ff71adbe38a7eeb2f96d,2908,171204_pose1_sample,train,1,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,0.0,zero,00_08,00_13,medium,72,29.97,False,zero,71,0,0,offset,ca476361bb35ee4aae5a0051,2908,171204_pose1_sample,train,0,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,0.25,positive,00_08,00_13,medium,71,29.97,False,near_zero,71,0,0,offset,6f547b4984debafbd18466b0,2908,171204_pose1_sample,train,0,71,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,2.0,positive,00_08,00_13,medium,70,29.97,False,small_medium,71,0,0,offset,1aa4b22d2339bd4bc493dcd1,2908,171204_pose1_sample,train,0,70,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,7.5,positive,00_08,00_13,medium,64,29.97,False,near_boundary,71,0,0,offset,c68a4c3e5dc8317c24942438,2908,171204_pose1_sample,train,0,64,Q3,7.376991
below_one,0.96,04ea839f06a55405c31c,-2.0,negative,00_08,00_13,medium,69,29.97,False,small_medium,71,0,0,affine,76e7971fd63f1152322b221d,2908,171204_pose1_sample,train,3,72,Q3,7.376991
below_one,0.96,04ea839f06a55405c31c,0.0,zero,00_08,00_13,medium,72,29.97,False,zero,71,0,0,affine,f8a795ec0f545b62015ec121,2908,171204_pose1_sample,train,0,72,Q3,7.376991
below_one,0.96,04ea839f06a55405c31c,2.0,positive,00_08,00_13,medium,72,29.97,False,small_medium,71,0,0,affine,a2755ea7a47614316bdbbe00,2908,171204_pose1_sample,train,0,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,-2.0,negative,00_08,00_13,medium,70,29.97,False,small_medium,71,0,0,affine,7f3ec6bf85a9a2d50a00d2a5,2908,171204_pose1_sample,train,2,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,0.0,zero,00_08,00_13,medium,72,29.97,False,zero,71,0,0,affine,04eb7c69e998d0e5a41681be,2908,171204_pose1_sample,train,0,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,2.0,positive,00_08,00_13,medium,70,29.97,False,small_medium,71,0,0,affine,948bb916f915029ce4cf1b40,2908,171204_pose1_sample,train,0,70,Q3,7.376991
above_one,1.04,04ea839f06a55405c31c,-2.0,negative,00_08,00_13,medium,69,29.97,False,small_medium,71,0,0,affine,e9ce0cf68749372bd785c8cd,2908,171204_pose1_sample,train,2,71,Q3,7.376991
above_one,1.04,04ea839f06a55405c31c,0.0,zero,00_08,00_13,medium,69,29.97,False,zero,71,0,0,affine,ec8aa9e7bfd9a0ef88bf3d1e,2908,171204_pose1_sample,train,0,69,Q3,7.376991
above_one,1.04,04ea839f06a55405c31c,2.0,positive,00_08,00_13,medium,67,29.97,False,small_medium,71,0,0,affine,044934935e4b35c11f41129e,2908,171204_pose1_sample,train,0,67,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,-7.5,negative,00_00,00_03,wide,64,29.97,False,near_boundary,71,0,0,offset,ae99f2724679a08d32ddd414,2908,171204_pose1_sample,train,8,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,-3.0,negative,00_00,00_03,wide,69,29.97,False,small_medium,71,0,0,offset,79b559918b6a54325310610d,2908,171204_pose1_sample,train,3,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,-0.5,negative,00_00,00_03,wide,71,29.97,False,near_zero,71,0,0,offset,99bd7662d796564abe9d80ad,2908,171204_pose1_sample,train,1,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,0.0,zero,00_00,00_03,wide,72,29.97,False,zero,71,0,0,offset,5189a657b716c8ce65fcd6dc,2908,171204_pose1_sample,train,0,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,0.25,positive,00_00,00_03,wide,71,29.97,False,near_zero,71,0,0,offset,0b2fa313cfe511ce16009dec,2908,171204_pose1_sample,train,0,71,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,2.0,positive,00_00,00_03,wide,70,29.97,False,small_medium,71,0,0,offset,8e784a37b6915bb6f852d9d9,2908,171204_pose1_sample,train,0,70,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,7.5,positive,00_00,00_03,wide,64,29.97,False,near_boundary,71,0,0,offset,62d123fa03db35012d10c3ea,2908,171204_pose1_sample,train,0,64,Q3,7.376991
below_one,0.96,04ea839f06a55405c31c,-2.0,negative,00_00,00_03,wide,69,29.97,False,small_medium,71,0,0,affine,dab8f2e12af1097e8444cca4,2908,171204_pose1_sample,train,3,72,Q3,7.376991
below_one,0.96,04ea839f06a55405c31c,0.0,zero,00_00,00_03,wide,72,29.97,False,zero,71,0,0,affine,7fbee27488623aec15c0b67e,2908,171204_pose1_sample,train,0,72,Q3,7.376991
below_one,0.96,04ea839f06a55405c31c,2.0,positive,00_00,00_03,wide,72,29.97,False,small_medium,71,0,0,affine,e3b9a00c9697f61f9a900d9d,2908,171204_pose1_sample,train,0,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,-2.0,negative,00_00,00_03,wide,70,29.97,False,small_medium,71,0,0,affine,cc99b303ba3ace1192e55c3b,2908,171204_pose1_sample,train,2,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,0.0,zero,00_00,00_03,wide,72,29.97,False,zero,71,0,0,affine,6df23057dd4c59d9717f050b,2908,171204_pose1_sample,train,0,72,Q3,7.376991
one_control,1.0,04ea839f06a55405c31c,2.0,positive,00_00,00_03,wide,70,29.97,False,small_medium,71,0,0,affine,04418cf06d7edcf5129340bc,2908,171204_pose1_sample,train,0,70,Q3,7.376991
above_one,1.04,04ea839f06a55405c31c,-2.0,negative,00_00,00_03,wide,69,29.97,False,small_medium,71,0,0,affine,1cc5d68899528c7abde13608,2908,171204_pose1_sample,train,2,71,Q3,7.376991
above_one,1.04,04ea839f06a55405c31c,0.0,zero,00_00,00_03,wide,69,29.97,False,zero,71,0,0,affine,6ae4c32328e6f18589674723,2908,171204_pose1_sample,train,0,69,Q3,7.376991
above_one,1.04,04ea839f06a55405c31c,2.0,positive,00_00,00_03,wide,67,29.97,False,small_medium,71,0,0,affine,fe56853d24888680b7516751,2908,171204_pose1_sample,train,0,67,Q3,7.376991
one_control,1.0,0c4162f85711d71fbc6b,-7.5,negative,00_04,00_18,small,64,29.97,False,near_boundary,972,901,1,offset,d9ece6295a2b19e4edecc062,2908,160422_haggling1,test,8,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,-3.0,negative,00_04,00_18,small,69,29.97,False,small_medium,972,901,1,offset,e232b602d168b11244c3c041,2908,160422_haggling1,test,3,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,-0.5,negative,00_04,00_18,small,71,29.97,False,near_zero,972,901,1,offset,4ec2eb8a29e63323384562ea,2908,160422_haggling1,test,1,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,0.0,zero,00_04,00_18,small,72,29.97,False,zero,972,901,1,offset,43d001e131122708e930da53,2908,160422_haggling1,test,0,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,0.25,positive,00_04,00_18,small,71,29.97,False,near_zero,972,901,1,offset,61e76f8154c3c5ff18385e3c,2908,160422_haggling1,test,0,71,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,2.0,positive,00_04,00_18,small,70,29.97,False,small_medium,972,901,1,offset,097b1b9b7063d078d40f5a81,2908,160422_haggling1,test,0,70,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,7.5,positive,00_04,00_18,small,64,29.97,False,near_boundary,972,901,1,offset,d10ef422c388cf454d77a603,2908,160422_haggling1,test,0,64,Q1,1.571
below_one,0.96,0c4162f85711d71fbc6b,-2.0,negative,00_04,00_18,small,69,29.97,False,small_medium,972,901,1,affine,236f68f0d612ecb1345a34c2,2908,160422_haggling1,test,3,72,Q1,1.571
below_one,0.96,0c4162f85711d71fbc6b,0.0,zero,00_04,00_18,small,72,29.97,False,zero,972,901,1,affine,3b9de0cd6f671a4d3fcebe8c,2908,160422_haggling1,test,0,72,Q1,1.571
below_one,0.96,0c4162f85711d71fbc6b,2.0,positive,00_04,00_18,small,72,29.97,False,small_medium,972,901,1,affine,bf33c095afade911cb6c3467,2908,160422_haggling1,test,0,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,-2.0,negative,00_04,00_18,small,70,29.97,False,small_medium,972,901,1,affine,df4e4e31e110436cbc436fac,2908,160422_haggling1,test,2,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,0.0,zero,00_04,00_18,small,72,29.97,False,zero,972,901,1,affine,22c403287e30d672db4f330b,2908,160422_haggling1,test,0,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,2.0,positive,00_04,00_18,small,70,29.97,False,small_medium,972,901,1,affine,cfdc19c648f116188b984846,2908,160422_haggling1,test,0,70,Q1,1.571
above_one,1.04,0c4162f85711d71fbc6b,-2.0,negative,00_04,00_18,small,69,29.97,False,small_medium,972,901,1,affine,68a9ab2a8a6f264d675f3461,2908,160422_haggling1,test,2,71,Q1,1.571
above_one,1.04,0c4162f85711d71fbc6b,0.0,zero,00_04,00_18,small,69,29.97,False,zero,972,901,1,affine,a375ac4a81b9c07a03f2b80b,2908,160422_haggling1,test,0,69,Q1,1.571
above_one,1.04,0c4162f85711d71fbc6b,2.0,positive,00_04,00_18,small,67,29.97,False,small_medium,972,901,1,affine,e34277fa625b7933fbc99bbe,2908,160422_haggling1,test,0,67,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,-7.5,negative,00_08,00_13,medium,64,29.97,False,near_boundary,972,901,1,offset,4c1d27e98621b1e8d4c6fb33,2908,160422_haggling1,test,8,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,-3.0,negative,00_08,00_13,medium,69,29.97,False,small_medium,972,901,1,offset,c69a280c3242877f1a50c35d,2908,160422_haggling1,test,3,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,-0.5,negative,00_08,00_13,medium,71,29.97,False,near_zero,972,901,1,offset,a18f67489d082a1632884b2b,2908,160422_haggling1,test,1,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,0.0,zero,00_08,00_13,medium,72,29.97,False,zero,972,901,1,offset,da6a360c86706468d9e26db2,2908,160422_haggling1,test,0,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,0.25,positive,00_08,00_13,medium,71,29.97,False,near_zero,972,901,1,offset,01a1b597aa7a53f31ed4b05b,2908,160422_haggling1,test,0,71,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,2.0,positive,00_08,00_13,medium,70,29.97,False,small_medium,972,901,1,offset,e767c606519eb74ff5623f91,2908,160422_haggling1,test,0,70,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,7.5,positive,00_08,00_13,medium,64,29.97,False,near_boundary,972,901,1,offset,ff7a851289f1af3ecd08171d,2908,160422_haggling1,test,0,64,Q1,1.571
below_one,0.96,0c4162f85711d71fbc6b,-2.0,negative,00_08,00_13,medium,69,29.97,False,small_medium,972,901,1,affine,efea405883e145696bf324f7,2908,160422_haggling1,test,3,72,Q1,1.571
below_one,0.96,0c4162f85711d71fbc6b,0.0,zero,00_08,00_13,medium,72,29.97,False,zero,972,901,1,affine,a1f99cc1d49acb419e505220,2908,160422_haggling1,test,0,72,Q1,1.571
below_one,0.96,0c4162f85711d71fbc6b,2.0,positive,00_08,00_13,medium,72,29.97,False,small_medium,972,901,1,affine,2658d4752b57df17a2fa0e1d,2908,160422_haggling1,test,0,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,-2.0,negative,00_08,00_13,medium,70,29.97,False,small_medium,972,901,1,affine,633dba1aa810d20eae1e1dcb,2908,160422_haggling1,test,2,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,0.0,zero,00_08,00_13,medium,72,29.97,False,zero,972,901,1,affine,1509c10f8b40ced1ce663aef,2908,160422_haggling1,test,0,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,2.0,positive,00_08,00_13,medium,70,29.97,False,small_medium,972,901,1,affine,3286c2ba46a8911bd8d98f65,2908,160422_haggling1,test,0,70,Q1,1.571
above_one,1.04,0c4162f85711d71fbc6b,-2.0,negative,00_08,00_13,medium,69,29.97,False,small_medium,972,901,1,affine,fe13159cacc0b8c35681fba0,2908,160422_haggling1,test,2,71,Q1,1.571
above_one,1.04,0c4162f85711d71fbc6b,0.0,zero,00_08,00_13,medium,69,29.97,False,zero,972,901,1,affine,02d35b50ff9fde09c73ada03,2908,160422_haggling1,test,0,69,Q1,1.571
above_one,1.04,0c4162f85711d71fbc6b,2.0,positive,00_08,00_13,medium,67,29.97,False,small_medium,972,901,1,affine,4437a06e6d76ce7a61c32088,2908,160422_haggling1,test,0,67,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,-7.5,negative,00_00,00_03,wide,64,29.97,False,near_boundary,972,901,1,offset,3ca85543f4ad7491a032cca1,2908,160422_haggling1,test,8,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,-3.0,negative,00_00,00_03,wide,69,29.97,False,small_medium,972,901,1,offset,92999313810ac2da63d3bc8f,2908,160422_haggling1,test,3,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,-0.5,negative,00_00,00_03,wide,71,29.97,False,near_zero,972,901,1,offset,1bb8bdbb2cd8637a07b62944,2908,160422_haggling1,test,1,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,0.0,zero,00_00,00_03,wide,72,29.97,False,zero,972,901,1,offset,aa1723453fd392918efc4f9b,2908,160422_haggling1,test,0,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,0.25,positive,00_00,00_03,wide,71,29.97,False,near_zero,972,901,1,offset,4dc8f81ad77dbc9b9315e494,2908,160422_haggling1,test,0,71,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,2.0,positive,00_00,00_03,wide,70,29.97,False,small_medium,972,901,1,offset,bb398ea8677e71ab4153fbcb,2908,160422_haggling1,test,0,70,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,7.5,positive,00_00,00_03,wide,64,29.97,False,near_boundary,972,901,1,offset,a73bcc1448ecc130a5920b50,2908,160422_haggling1,test,0,64,Q1,1.571
below_one,0.96,0c4162f85711d71fbc6b,-2.0,negative,00_00,00_03,wide,69,29.97,False,small_medium,972,901,1,affine,2697f5061aacef0d59a03244,2908,160422_haggling1,test,3,72,Q1,1.571
below_one,0.96,0c4162f85711d71fbc6b,0.0,zero,00_00,00_03,wide,72,29.97,False,zero,972,901,1,affine,eb6f509cc728d177d3d07c6d,2908,160422_haggling1,test,0,72,Q1,1.571
below_one,0.96,0c4162f85711d71fbc6b,2.0,positive,00_00,00_03,wide,72,29.97,False,small_medium,972,901,1,affine,76c6701f75488c72d323f903,2908,160422_haggling1,test,0,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,-2.0,negative,00_00,00_03,wide,70,29.97,False,small_medium,972,901,1,affine,3a7b25f372436e691f502135,2908,160422_haggling1,test,2,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,0.0,zero,00_00,00_03,wide,72,29.97,False,zero,972,901,1,affine,787146b44ebee9afec15b91f,2908,160422_haggling1,test,0,72,Q1,1.571
one_control,1.0,0c4162f85711d71fbc6b,2.0,positive,00_00,00_03,wide,70,29.97,False,small_medium,972,901,1,affine,c240d5626edabc7274c0b2c1,2908,160422_haggling1,test,0,70,Q1,1.571
above_one,1.04,0c4162f85711d71fbc6b,-2.0,negative,00_00,00_03,wide,69,29.97,False,small_medium,972,901,1,affine,c61fef99dc884cd51e993e70,2908,160422_haggling1,test,2,71,Q1,1.571
above_one,1.04,0c4162f85711d71fbc6b,0.0,zero,00_00,00_03,wide,69,29.97,False,zero,972,901,1,affine,6ec4cf3a3ff1227ebc1998c5,2908,160422_haggling1,test,0,69,Q1,1.571
above_one,1.04,0c4162f85711d71fbc6b,2.0,positive,00_00,00_03,wide,67,29.97,False,small_medium,972,901,1,affine,d2126adda057ca94ff4bc4e0,2908,160422_haggling1,test,0,67,Q1,1.571
one_control,1.0,0ca717cccc9e46cc1ceb,-7.5,negative,00_01,00_19,small,64,29.97,False,near_boundary,6537,6466,10,offset,8054afd7b4ca9a960ecfaae2,2908,160226_haggling1,test,8,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,-3.0,negative,00_01,00_19,small,69,29.97,False,small_medium,6537,6466,10,offset,1ce0f38a5bc1da6555bd004f,2908,160226_haggling1,test,3,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,-0.5,negative,00_01,00_19,small,71,29.97,False,near_zero,6537,6466,10,offset,c16a6322f4fdffe8eb59e9c6,2908,160226_haggling1,test,1,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,0.0,zero,00_01,00_19,small,72,29.97,False,zero,6537,6466,10,offset,8c50a1241516a1932165994c,2908,160226_haggling1,test,0,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,0.25,positive,00_01,00_19,small,71,29.97,False,near_zero,6537,6466,10,offset,fea06fcc494549cea983860f,2908,160226_haggling1,test,0,71,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,2.0,positive,00_01,00_19,small,70,29.97,False,small_medium,6537,6466,10,offset,298da07be81b617f134b5304,2908,160226_haggling1,test,0,70,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,7.5,positive,00_01,00_19,small,64,29.97,False,near_boundary,6537,6466,10,offset,bfab516be8fc300a85bfc38f,2908,160226_haggling1,test,0,64,Q3,7.91448
below_one,0.96,0ca717cccc9e46cc1ceb,-2.0,negative,00_01,00_19,small,69,29.97,False,small_medium,6537,6466,10,affine,31895c02e303288deb1e1b7c,2908,160226_haggling1,test,3,72,Q3,7.91448
below_one,0.96,0ca717cccc9e46cc1ceb,0.0,zero,00_01,00_19,small,72,29.97,False,zero,6537,6466,10,affine,e15dee6e9238a675db54aa22,2908,160226_haggling1,test,0,72,Q3,7.91448
below_one,0.96,0ca717cccc9e46cc1ceb,2.0,positive,00_01,00_19,small,72,29.97,False,small_medium,6537,6466,10,affine,a09bf4c512baac7e1f9da097,2908,160226_haggling1,test,0,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,-2.0,negative,00_01,00_19,small,70,29.97,False,small_medium,6537,6466,10,affine,e53da9728aa0a9dda7cd72bd,2908,160226_haggling1,test,2,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,0.0,zero,00_01,00_19,small,72,29.97,False,zero,6537,6466,10,affine,c56fa1ebce8a917dcb205be1,2908,160226_haggling1,test,0,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,2.0,positive,00_01,00_19,small,70,29.97,False,small_medium,6537,6466,10,affine,46dc95bd75c1cc48a6fb45b7,2908,160226_haggling1,test,0,70,Q3,7.91448
above_one,1.04,0ca717cccc9e46cc1ceb,-2.0,negative,00_01,00_19,small,69,29.97,False,small_medium,6537,6466,10,affine,08d89df0ac5765b948a4caa5,2908,160226_haggling1,test,2,71,Q3,7.91448
above_one,1.04,0ca717cccc9e46cc1ceb,0.0,zero,00_01,00_19,small,69,29.97,False,zero,6537,6466,10,affine,a94bae617767954fa4e40ad9,2908,160226_haggling1,test,0,69,Q3,7.91448
above_one,1.04,0ca717cccc9e46cc1ceb,2.0,positive,00_01,00_19,small,67,29.97,False,small_medium,6537,6466,10,affine,7e73c312b9df8ffe2e58a074,2908,160226_haggling1,test,0,67,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,-7.5,negative,00_04,00_13,medium,64,29.97,False,near_boundary,6537,6466,10,offset,2749cc2172181ed62eb777df,2908,160226_haggling1,test,8,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,-3.0,negative,00_04,00_13,medium,69,29.97,False,small_medium,6537,6466,10,offset,684edd934c7504448faf5545,2908,160226_haggling1,test,3,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,-0.5,negative,00_04,00_13,medium,71,29.97,False,near_zero,6537,6466,10,offset,2d65496c0f8498ede103e3bf,2908,160226_haggling1,test,1,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,0.0,zero,00_04,00_13,medium,72,29.97,False,zero,6537,6466,10,offset,0d4df1d23b5d4227a48c3369,2908,160226_haggling1,test,0,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,0.25,positive,00_04,00_13,medium,71,29.97,False,near_zero,6537,6466,10,offset,02069ff8cf5441bd4c44b5a8,2908,160226_haggling1,test,0,71,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,2.0,positive,00_04,00_13,medium,70,29.97,False,small_medium,6537,6466,10,offset,78d4d6679a92e583a04f319f,2908,160226_haggling1,test,0,70,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,7.5,positive,00_04,00_13,medium,64,29.97,False,near_boundary,6537,6466,10,offset,688095efed242ed69452901a,2908,160226_haggling1,test,0,64,Q3,7.91448
below_one,0.96,0ca717cccc9e46cc1ceb,-2.0,negative,00_04,00_13,medium,69,29.97,False,small_medium,6537,6466,10,affine,4f03701407054eef43d6f2f5,2908,160226_haggling1,test,3,72,Q3,7.91448
below_one,0.96,0ca717cccc9e46cc1ceb,0.0,zero,00_04,00_13,medium,72,29.97,False,zero,6537,6466,10,affine,2398ecbc0d6210b3bf7a8dee,2908,160226_haggling1,test,0,72,Q3,7.91448
below_one,0.96,0ca717cccc9e46cc1ceb,2.0,positive,00_04,00_13,medium,72,29.97,False,small_medium,6537,6466,10,affine,8efd46de675acffd8677aff3,2908,160226_haggling1,test,0,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,-2.0,negative,00_04,00_13,medium,70,29.97,False,small_medium,6537,6466,10,affine,7ef8978ed3416c06ca66ae1f,2908,160226_haggling1,test,2,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,0.0,zero,00_04,00_13,medium,72,29.97,False,zero,6537,6466,10,affine,ddc9cbd8163566ad6f154867,2908,160226_haggling1,test,0,72,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,2.0,positive,00_04,00_13,medium,70,29.97,False,small_medium,6537,6466,10,affine,7760fbfd8c6c6f07038f9293,2908,160226_haggling1,test,0,70,Q3,7.91448
above_one,1.04,0ca717cccc9e46cc1ceb,-2.0,negative,00_04,00_13,medium,69,29.97,False,small_medium,6537,6466,10,affine,dd91b913670d0da9710f39f9,2908,160226_haggling1,test,2,71,Q3,7.91448
above_one,1.04,0ca717cccc9e46cc1ceb,0.0,zero,00_04,00_13,medium,69,29.97,False,zero,6537,6466,10,affine,2b562bbacaa8cd682367c2e4,2908,160226_haggling1,test,0,69,Q3,7.91448
above_one,1.04,0ca717cccc9e46cc1ceb,2.0,positive,00_04,00_13,medium,67,29.97,False,small_medium,6537,6466,10,affine,c1b243586ee9514c9cd934cd,2908,160226_haggling1,test,0,67,Q3,7.91448
one_control,1.0,0ca717cccc9e46cc1ceb,-7.5,negative,00_26,00_30,wide,64,29.97,False,near_boundary,6537,6466,10,offset,9f58e323c4203bf42d9f09b8,2908,160226_haggling1,test,8,72,Q3,7.91448
